Woolworths New York Style Baked Cheesecake 700g,8,Servingsize:87g,Energy,Approx. 1300kJ,Approx. 1490kJ,Protein,Approx. 5.1g,Approx. 5.9g,"Fat, total",Approx. 23g,Approx. 26.4g,– saturated,Approx. 16.4g,Approx. 18.9g,Carbohydrate,Approx. 21.3g,Approx. 24.5g,– sugars,Approx. 10g,Approx. 11.5g,Sodium,Approx. 137mg,Approx. 158mg
Woolworths Lightly Fruited Cake700g,16,Servingsize:100g,Energy,Approx. 716kJ,Approx. 1640kJ,Protein,Approx. 2.1g,Approx. 4.4g,"Fat, total",Approx. 6.6g,Approx. 14.2g,– saturated,Approx. 1.5g,Approx. 2.6g,Carbohydrate,Approx. 25.2g,Approx. 60g,– sugars,Approx. 15.2g,Approx. 37g,Sodium,Approx. 212mg,Approx. 350mg
9 Grain Tip Top Bread Original 700g,9.5(17slices+2crusts),Servingsize:74g(2slices),Energy,770kJ,1040kJ,Protein,9.0g,12.1g,"Fat, total",3.7g,5.0g,– saturated,0.4g,0.6g,Carbohydrate,26.0g,35.1g,– sugars,1.6g,2.2g,Sodium,296mg,400mg
9 Grain Tip Top Pumpkin Seed 700g,9.5(17slices+2crusts),Servingsize:74g(2slices),Energy,814kJ,1100kJ,Protein,10.2g,13.8g,"Fat, total",4.7g,6.4g,– saturated,0.7g,1.0g,Carbohydrate,24.9g,33.7g,– sugars,1.6g,2.1g,Sodium,318mg,400mg
Bürgen Bread Pumpkin Seeds 700g,8(14slices+2crusts,Servingsize:83g(2slices),Energy,850kJ,1020kJ,Protein,11.8g,14.2g,"Fat, total",6.3g,7.6g,– saturated,0.8g,1.0g,Carbohydrate,21.9g,26.4g,– sugars,1.9g,2.3g,Sodium,332mg,400mg
Burgen Bread Traditional Rye 700g,8(14slices+2crusts),Servingsize:83g(2slices),Energy,859kJ,1035kJ,Protein,8.8g,10.6g,"Fat, total",4.3g,5.2g,– saturated,0.4g,0.5g,Carbohydrate,29.4g,35.4g,– sugars,1.2g,1.5g,Sodium,388mg,17%
Bürgen Bread Soy & Linseed 700g,8(14slices+2crusts),Servingsize:83g(2slices),Energy,751kJ,905kJ,Protein,11.2g,13.5g,"Fat, total",4.8g,5.8g,– saturated,0.7g,0.8g,Carbohydrate,19.9g,24.0g,– sugars,2.4g,2.9g,Sodium,361mg,435mg
Bürgen Bread Wholegrain & Oats 700g,8(15slices+2crusts),Servingsize:83g(2slices),Energy,765kJ,922kJ,Protein,8.6g,10.4g,"Fat, total",4.0g,4.8g,– saturated,0.6g,0.8g,Carbohydrate,24.8g,29.8g,– sugars,1.7g,2.1g,Sodium,293mg,353mg
Tip Top Sunblest Multi Grain Sandwich Bread 650g,11(20slices+2crusts),Servingsize:60g(2slices),Energy,615kJ,1100kJ,Protein,5.3g,9.0g,"Fat, total",1.1g,3.0g,– saturated,0.2g,0.7g,Carbohydrate,27.0g,47.0g,– sugars,1.9g,2.5g,Sodium,234mg,400mg
Helga's Lower Carb Bread Soy & Toasted Sesame 700g,10(18Slices+2Crusts),Servingsize:70g(2Slices),Energy,790kJ,1130kJ,Protein,11.1g,15.8g,"Fat, total",5.8g,8.3g,– saturated,<1.0g,1.3g,Carbohydrate,20.5g,29.3g,– sugars,2.7g,3.9g,Sodium,280mg,400mg
Tip Top The One Kids' Grains 700g,17slices+2crusts,Servingsize:74g(2slices),Energy,774kJ,1050kJ,Protein,7.4g,10.0g,"Fat, total",3.6g,4.8g,– saturated,0.5g,0.7g,Carbohydrate,28.3g,38.2g,– sugars,1.7g,2.2g,Sodium,288mg,390mg
Abbotts Village Bakery Dark Rye Bread700g,9(16slices+2crusts),Servingsize:78g,Energy,803kJ,1030kJ,Protein,7.5g,9.6g,"Fat, total",2.5g,3.2g,– saturated,0.4g,0.5g,Carbohydrate,33.1g,42.2g,– sugars,1.9g,2.4g,Sodium,257mg,330mg
Schwob's Swiss Farmer Light Rye Cob 700g,12,Servingsize:70g,Energy,688kJ,954.3g,Protein,7.1g,10.1g,"Fat, total",1.4g,2.0g,– saturated,0.4g,0.45g,Carbohydrate,27.3g,39.2g,– sugars,2.8g,4.0g,Sodium,434mg,620mg
The One Tip Top Toast Bread White 700g,17slices+2crusts,Servingsize:74g(2slices),Energy,741kJ,950kJ,Protein,6.3g,8.1g,"Fat, total",1.6g,2.1g,– saturated,0.3g,0.4g,Carbohydrate,31.0g,39.8g,– sugars,2.3g,3.0g,Sodium,312mg,400mg
The One Tip Top Sandwich Bread Wholemeal 700g,17slices+2crusts,Servingsize:74g(2slices),Energy,723kJ,977kJ,Protein,7.2g,9.7g,"Fat, total",2.3g,3.1g,– saturated,0.4g,0.5g,Carbohydrate,27.4g,37.0g,– sugars,2.2g,3.1g,Sodium,289mg,390mg
The One Tip Top Omega 3 Sandwich Bread White 700g,17slices+2crusts,Servingsize:74g(2slices),Energy,720kJ,973kJ,Protein,6.3g,8.5g,"Fat, total",1.5g,2.0g,– saturated,0.4g,0.5g,Carbohydrate,31.5g,42.5g,– sugars,2.3g,3.1g,Sodium,289mg,390mg
The One Tip Top Sandwich Bread White 700g,17slices+2crusts,Servingsize:74g(2slices),Energy,703kJ,950kJ,Protein,6.0g,8.1g,"Fat, total",1.6g,2.1g,– saturated,0.3g,0.4g,Carbohydrate,29.5g,39.8g,– sugars,2.2g,3.0g,Sodium,296mg,400mg
Wonder White Wholemeal With Iron Sandwich Slice 700g,9.5,Servingsize:74g(2slices),Energy,730kJ,980kJ,Protein,6.7g,9.1g,"Fat, total",2.4g,3.2g,– saturated,<1.0g,<1.0g,Carbohydrate,28.0g,37.8g,– sugars,2.0g,2.7g,Sodium,295mg,400mg
Wonder White Bread Vitamins & Minerals Toast 700g,8.5,Servingsize:82g(2slices),Energy,780kJ,955kJ,Protein,6.4g,7.8g,"Fat, total",1.7g,2.1g,– saturated,<1.0g,<1.0g,Carbohydrate,33.0g,40.2g,– sugars,2.3g,2.8g,Sodium,330mg,400mg
Wonder White White Hi Fibre Sandwich Slice Bread 700g,9.5,Servingsize:74g(2slices),Energy,710kJ,955kJ,Protein,5.8g,7.8g,"Fat, total",1.6g,2.1g,– saturated,<1.0g,<1.0g,Carbohydrate,29.7g,40.2g,– sugars,2.1g,2.8g,Sodium,295mg,400mg
Wonder White Smooth Wholegrain 700g,9.5(17slicesand2crusts),Servingsize:74g(2slices),Energy,730kJ,980kJ,Protein,6.4g,8.7g,"Fat, total",2.3g,3.1g,– saturated,<1.0g,<1.0g,Carbohydrate,28.5g,38.5g,– sugars,2.4g,3.2g,Sodium,300mg,400mg
Wonder White Bread Vitamins & Minerals Sandwich 700g,9.5,Servingsize:74g(2slices),Energy,710kJ,955kJ,Protein,5.8g,7.8g,"Fat, total",1.6g,2.1g,– saturated,<1.0g,<1.0g,Carbohydrate,29.7g,40.2g,– sugars,2.1g,2.8g,Sodium,295mg,400mg
Bürgen Bread Wholemeal & Seeds 700g,8(14slices+2crusts),Servingsize:83g(2slices),Energy,765kJ,922kJ,Protein,11.0g,13.2g,"Fat, total",5.1g,6.1g,– saturated,0.5g,0.7g,Carbohydrate,19.3g,23.2g,– sugars,1.9g,2.3g,Sodium,320mg,386mg
Tip Top Sunblest Wholemeal Sandwich Bread 650g,11(20slices+2crusts),Servingsize:60g(2slices),Energy,580kJ,966kJ,Protein,5.7g,9.5g,"Fat, total",1.6g,2.6g,– saturated,0.2g,0.4g,Carbohydrate,23.6g,39.3g,– sugars,2.1g,3.5g,Sodium,214mg,357mg
Tip Top Sunblest White Thick Sliced Bread 650g,9.5(17slices+2crusts),Servingsize:68.5g(2slices),Energy,699kJ,1020kJ,Protein,5.8g,8.4g,"Fat, total",1.4g,2.0g,– saturated,0.4g,0.6g,Carbohydrate,31.7g,46.3g,– sugars,1.6g,2.4g,Sodium,274mg,400mg
Tip Top Sunblest White Sandwich Bread 650g,11(20slices+2crusts),Servingsize:60g(2slices),Energy,612kJ,1020kJ,Protein,5.0g,8.4g,"Fat, total",1.2g,2.0g,– saturated,0.4g,0.6g,Carbohydrate,27.8g,46.3g,– sugars,1.4g,2.4g,Sodium,240mg,400mg
Helga's Wholemeal & Seed Lower Carb 700g,10(18Slices+2Crusts),Servingsize:70g(2Slices),Energy,800kJ,1140kJ,Protein,10.3g,14.7g,"Fat, total",6.5g,9.3g,– saturated,<1.0g,1.1g,Carbohydrate,19.0g,27.1g,– sugars,1.8g,2.6g,Sodium,280mg,400mg
